,name_food,calories,link
192,Ensalada de garbanzos con atún y aguacate,267,https://queapetito.com/receta-ensalada-garbanzos-atun-aguacate/
193,Ensalada cobb,190,https://queapetito.com/receta-ensalada-cobb/
194,Ensalada de col con salsa mostaza,170,https://queapetito.com/receta-ensalada-col-salsa-mostaza/
195,Ensalada de Patatas Veganas,144,https://queapetito.com/receta-ensalada-patatas-veganas/
196,Ensalada de manzana dulce,170,https://queapetito.com/receta-ensalada-manzana-dulce/
197,Ensalada de cogollos con atún,110,https://queapetito.com/receta-ensalada-cogollos-atun/
198,Ensalada Catalana,93,https://queapetito.com/receta-ensalada-catalana/
199,Ensalada tibia de setas y parmesano,100,https://queapetito.com/receta-ensalada-tibia-setas-parmesano/
200,"Ensalada de espinacas, manzana y queso",210,https://queapetito.com/receta-ensalada-espinacas-manzana-queso/
201,Ensalada de espinacas y pollo,210,https://queapetito.com/receta-ensalada-espinacas-pollo/
202,Ensalada de aguacate y atún,112,https://queapetito.com/receta-ensalada-aguacate-atun/
203,Ensalada de pasta con pollo,198,https://queapetito.com/receta-ensalada-pasta-pollo/
204,Macedonia de cítricos,140,https://queapetito.com/receta-macedonia-citricos/
205,Ensalada de rúcula y fresas,100,https://queapetito.com/receta-ensalada-rucula-fresas/
206,Ensalada de champiñones y tomate,210,https://queapetito.com/receta-ensalada-campinones-tomate/
207,"Ensalada de rúcula, naranja y queso",230,https://queapetito.com/receta-ensalada-rucula-naranja-queso/
208,Ensalada de remolacha y aguacate,516,https://queapetito.com/receta-ensalada-remolacha-aguacate/
209,Ensalada de Cardo rojo,350,https://queapetito.com/receta-ensalada-cardo-rojo/
210,Ensalada de Arenques y Remolacha,316,https://queapetito.com/receta-ensalada-arenques-remolacha/
211,Ensalada de Borujas,180,https://queapetito.com/receta-ensalada-borujas/
212,Xató de Sitges,540,https://queapetito.com/receta-xato-sitges/
213,Ensalada de rábanos,80,https://queapetito.com/receta-ensalada-rabanos/
214,Ensalada de Escarola con Anchoas,84,https://queapetito.com/receta-ensalada-escarola-anchoas/
215,Ensalada de calabaza,210,https://queapetito.com/receta-ensalada-calabaza/
216,Ensalada alemana con mortadela,263,https://queapetito.com/receta-ensalada-alemana-mortadela/
217,Ensalada de pasta con salmón,288,https://queapetito.com/receta-ensalada-pasta-salmon/
218,Ensalada de calabacín y nueces,300,https://queapetito.com/receta-ensalada-calabacin-nueces/
219,Ensalada de mango y langostinos,200,https://queapetito.com/receta-ensalada-mango-langostinos/
220,Ensalada de Alcachofa,265,https://queapetito.com/receta-ensalada-alcachofa/
221,Ensalada de aguacate y anchoas,170,https://queapetito.com/receta-ensalada-aguacate-anchoas/
222,Ensalada de Cardo,126,https://queapetito.com/receta-ensalada-cardo/
223,Ensalada de pulpo y mango,200,https://queapetito.com/receta-ensalada-pulpo-mango/
224,Ensalada de bogavante,250,https://queapetito.com/receta-ensalada-bogavante/
225,Ensalada con jamón y queso,130,https://queapetito.com/receta-ensalada-jamon-queso/
226,Chucrut casero,19,https://queapetito.com/receta-chucrut-casero/
227,"Ensalada de garbanzos, aguacate y tomate",270,https://queapetito.com/receta-ensalada-garbanzos-aguacate-tomate/
228,Ensalada de Espinacas y Champiñones,66,https://queapetito.com/receta-ensalada-espinacas-champinones/
229,Ensalada de anchoas y pimientos asados,160,https://queapetito.com/receta-ensalada-anchoas-pimientos-asados/
230,Ensalada de queso de cabra y anchoas,210,https://queapetito.com/receta-ensalada-queso-cabra-anchoas/
